Voyage ID,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)",Crew at first landing of captives,Crew at voyage outset,Standardized Tonnage (IMP),Sterling cash price in Jamaica (IMP),Percentage of captives who died during crossing (IMP),Percent women,Outcome of voyage if ship captured,Flag of vessel (IMP),Region where vessel's voyage ended (IMP),Rig of Vessel,Place where vessel's voyage ended,Month purchase of captives began,percent men,Month voyage completed,Region of return,Percent boys,Principal region of captive disembarkation (IMP),Principal region of captive purchase,Month vessel departed Africa,Month voyage began,Place where vessel's voyage began (IMP),Month first disembarkation of captives,Broad region of captive disembarkation (IMP),Percent girls,Particular outcome,Principal place where captives were landed (IMP),Percent children,Percent women,Month departed last place of landing,Outcome of voyage for investors,Outcome of voyage for captives,Principal place where captives were purchased,Resistance,Percent male,Percent female,Broad region where voyage began (IMP),Broad region of captive purchase (IMP),voyage_sources,enslavers
20807,1708.0,274.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,London,0.0,0.0,2.0,England and Wales,0.0,Maryland,Gold Coast,0.0,11.0,London,6.0,Mainland North America,0.0,Voyage completed as intended,"Maryland, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Gold Coast, port unspecified",0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Jamineau. Daniel|Investor: Tourney, Anthony|Investor: Houlditch, Abraham|Investor: Brooke, Robert|Investor: Browne, Peregrine|Captain: Crookshank, Robert"
20808,1708.0,114.0,142.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,Captor unspecified,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Maryland,Other Africa,0.0,6.0,London,5.0,Mainland North America,0.0,Captured unspecified after slaves disembarked,"Maryland, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Jamineau. Daniel|Investor: Tourney, Anthony|Investor: Berdsoe, James|Captain: Waite, james|Investor: Waite, james|Captain: Herle, Digory"
20809,1708.0,110.0,124.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,London,0.0,0.0,12.0,England and Wales,0.0,Maryland,Senegambia and offshore Atlantic,6.0,12.0,London,8.0,Mainland North America,0.0,Voyage completed as intended,"Maryland, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Tourney, Anthony|Investor: Mayhew|Captain: Hinton, Richard"
20810,1708.0,290.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Other Africa,0.0,12.0,London,0.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Houlditch, Abraham|Investor: Brooke, Robert|Investor: Hatley, Benjamin|Investor: Nelthorpe, George|Investor: Browne, Phillip|Captain: Deering, Henry"
20811,1708.0,297.0,371.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Other Africa,0.0,8.0,London,5.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Europe,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Minchinton, Walter E., and Celia King, eds. Virginia Slave Trade Statistics, 1698-1775. Richmond, VA, USA: The Library of Virginia, 1984.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Walsh, Lorena. “Database of Slave Trading Voyages to Maryland,” n.d.|  Walsh, Lorena. “Database of Slave Trading Voyages to Virginia,” n.d.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Minchinton, Walter E., and Celia King, eds. Virginia Slave Trade Statistics, 1698-1775. Richmond, VA, USA: The Library of Virginia, 1984.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Walsh, Lorena. “Database of Slave Trading Voyages to Maryland,” n.d.|  Walsh, Lorena. “Database of Slave Trading Voyages to Virginia,” n.d.","Captain: Martin, Joseph|Investor: Martin, Joseph|Investor: Houlditch, Abraham|Investor: Brooke, Robert|Captain: Parker, Samuel|Investor: Merret, Thomas"
20818,1708.0,250.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Other Africa,0.0,1.0,London,0.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Captain: Love, Giles"
20837,1678.0,376.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,Virginia,Bight of Benin,0.0,0.0,0,9.0,Mainland North America,0.0,Voyage completed as intended,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Ardra,0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Captain: Allen, John|Captain: Bessenger|Investor: Royal African Company"
20895,1707.0,92.0,94.0,0.0,307.0,0.0,0.0,0.0,0.0,0.02,0.0,Not captured,Great Britain,England and Wales,Brigantine,London,0.0,0.0,12.0,England and Wales,0.0,Maryland,Other Africa,0.0,10.0,London,8.0,Mainland North America,0.0,Voyage completed as intended,"Maryland, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Europe,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Tattersfield, Nigel, The Forgotten Trade: Comprising the Log of the “Daniel and Henry” of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725 (London, 1991)., n.d.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Tattersfield, Nigel, The Forgotten Trade: Comprising the Log of the “Daniel and Henry” of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725 (London, 1991)., n.d.","Investor: Tourney, Anthony|Captain: Waite, james|Investor: Waite, james|Investor: Houlditch, Abraham|Investor: Brooke, Robert|Captain: Lewis, Daniel|Investor: Coalthurst, Thomas|Investor: Evans, Thomas"
20896,1707.0,165.0,202.0,0.0,176.0,0.0,0.0,0.0,25.98,0.18,0.0,Not captured,Great Britain,Barbados,Fregat,London,4.0,0.50758,5.0,England and Wales,0.15909,Virginia,Senegambia and offshore Atlantic,0.0,3.0,"Barbados, place unspecified",8.0,Mainland North America,0.09848,Voyage completed as intended,"Virginia, port unspecified",0.27407,0.23485,0.0,0,Slaves disembarked in Americas,Gambia,0,0.66667,0.33333,Caribbean,Africa,"  Minchinton, Walter E., and Celia King, eds. Virginia Slave Trade Statistics, 1698-1775. Richmond, VA, USA: The Library of Virginia, 1984.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Minchinton, Walter E., and Celia King, eds. Virginia Slave Trade Statistics, 1698-1775. Richmond, VA, USA: The Library of Virginia, 1984.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Royal African Company|Captain: Cooke, William"
20908,1674.0,158.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Senegambia and offshore Atlantic,0.0,0.0,London,0.0,Mainland North America,0.0,Bought at least one slave in Africa - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,"Slaves embarked, transhipped or no further record",Gambia,0,0.0,0.0,Europe,Africa,"  “Records of the Prerogative Court of Canterbury.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Records of the Prerogative Court of Canterbury.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.",Investor: Royal African Company
20914,1676.0,239.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Gold Coast,0.0,10.0,London,0.0,Mainland North America,0.0,Bought at least one slave in Africa - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,"Slaves embarked, transhipped or no further record",Cape Coast Castle,0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Royal African Company|Captain: Eaton|Captain: Eaton, Joseph"
20944,1707.0,240.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,Virginia,Other Africa,0.0,0.0,0,6.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,0,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.",nan
20948,1707.0,209.0,275.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Bight of Biafra and Gulf of Guinea islands,0.0,10.0,London,8.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Calabar,0,0.0,0.0,Europe,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Minchinton, Walter E., and Celia King, eds. Virginia Slave Trade Statistics, 1698-1775. Richmond, VA, USA: The Library of Virginia, 1984.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Minchinton, Walter E., and Celia King, eds. Virginia Slave Trade Statistics, 1698-1775. Richmond, VA, USA: The Library of Virginia, 1984.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Tourney, Anthony|Investor: Lodge, Abraham|Captain: Waite, james|Investor: Waite, james|Captain: Wassel, William|Captain: Miller, Alexander"
21018,1706.0,163.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,London,0.0,0.0,8.0,England and Wales,0.0,Maryland,Senegambia and offshore Atlantic,6.0,1.0,London,7.0,Mainland North America,0.0,Voyage completed as intended,"Maryland, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Europe,Africa,"  Davenant, Charles. The Political and Commercial Works of That Celebrated Writer Charles D’Avenant. Edited by Charles Whitworth. Vol. 5. 5 vols. London, UK: R. Horsfield, 1771.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Davenant, Charles. The Political and Commercial Works of That Celebrated Writer Charles D’Avenant. Edited by Charles Whitworth. Vol. 5. 5 vols. London, UK: R. Horsfield, 1771.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Jamineau. Daniel|Investor: Tourney, Anthony|Investor: Houlditch, Abraham|Investor: Brooke, Robert|Investor: Browne, Peregrine|Captain: Woodward, John|Captain: Chidley"
21028,1687.0,221.0,250.0,0.0,0.0,0.0,0.0,85.3,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,2.0,0.0,0.0,0,0.0,Virginia,Senegambia and offshore Atlantic,5.0,12.0,London,6.0,Mainland North America,0.0,Voyage completed as intended,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Europe,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Royal African Company|Captain: Goodhand, Marmaduke"
21052,1687.0,90.0,102.0,0.0,0.0,0.0,0.0,54.8,0.0,0.0,0.0,Not captured,Great Britain,Jamaica,0,London,0.0,0.0,8.0,England and Wales,0.0,Virginia,Senegambia and offshore Atlantic,6.0,3.0,"Jamaica, place unspecified",8.0,Mainland North America,0.0,Voyage completed as intended,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Caribbean,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Royal African Company|Captain: Bramble, William"
21124,1687.0,126.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,British,Great Britain,Virginia,0,0,0.0,0.0,0.0,0,0.0,Virginia,Other Africa,0.0,0.0,"Virginia, port unspecified",1.0,Mainland North America,0.0,Condemned in the Americas by British after slaves disembarked,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Mainland North America,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.",Captain: Hogben
21125,1686.0,126.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,Virginia,0,0,0.0,0.0,0.0,0,0.0,Virginia,Other Africa,0.0,0.0,"Virginia, port unspecified",5.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Mainland North America,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.",nan
